"win","is_home","runs_scored","runs_allowed","run_diff","early_runs","middle_runs","late_runs","scored_first","led_after_3","led_after_6","AB","H","BB","SO","double","triple","HR","extra_base_hits","power_score","run_per_hit","offense_pressure_score","innings_pitched","hits_allowed","bb_allowed","hr_allowed","so_pitched","whip_like","strikeout_walk_ratio","run_prevention_score"
"loss","away",2,7,-5,0,1,1,"no","no","no",33,11,0,4,3,0,0,3,3,0.181818181818182,3,8,11,2,1,5,1.625,2.5,-5
"win","home",7,2,5,0,5,2,"yes","no","yes",35,11,2,5,1,1,1,3,6,0.636363636363636,9.5,9,11,0,0,4,1.22222222222222,4,2
"win","away",10,2,8,5,0,5,"no","yes","yes",36,14,4,6,4,0,0,4,4,0.714285714285714,15,9,6,2,0,4,0.888888888888889,2,0
"loss","home",2,10,-8,2,0,0,"no","no","no",32,6,2,4,0,0,0,0,0,0.333333333333333,2,9,14,4,0,6,2,1.5,-8
"loss","away",1,4,-3,0,0,1,"no","no","no",30,3,0,9,1,0,0,1,1,0.333333333333333,-2.5,8,5,3,0,8,1,2.66666666666667,1
"win","home",4,1,3,2,1,1,"yes","yes","yes",27,5,3,8,1,1,0,2,3,0.8,5,9,3,0,0,9,0.333333333333333,9,8
"win","home",6,5,1,0,6,0,"no","no","yes",29,4,6,8,1,0,0,1,1,1.5,9,9,8,4,1,6,1.33333333333333,1.5,-4
"loss","away",5,6,-1,2,3,0,"yes","yes","no",33,8,4,6,3,0,1,4,6,0.625,10,8,4,6,0,8,1.25,1.33333333333333,-4
"loss","away",2,4,-2,2,0,0,"yes","no","no",32,7,1,6,1,0,0,1,1,0.285714285714286,1,8,7,2,0,2,1.125,1,-4
"win","home",4,2,2,2,0,2,"no","no","no",27,7,2,2,2,0,0,2,2,0.571428571428571,7,9,7,1,0,6,0.888888888888889,6,3
"win","away",11,5,6,0,9,2,"no","no","yes",39,14,6,6,0,0,2,2,6,0.785714285714286,16,9,13,1,2,7,1.55555555555556,7,-1
"loss","home",5,11,-6,3,0,2,"yes","yes","no",36,13,1,7,1,0,2,3,7,0.384615384615385,5.5,9,14,6,2,6,2.22222222222222,1,-13
"win","away",6,1,5,3,0,3,"yes","yes","yes",35,10,4,6,2,1,0,3,4,0.6,10,9,6,1,1,7,0.777777777777778,7,4
"loss","home",1,6,-5,1,0,0,"no","no","no",30,6,1,7,0,0,1,1,3,0.166666666666667,-0.5,9,10,4,0,6,1.55555555555556,1.5,-4
"win","away",7,6,1,1,3,3,"no","no","no",32,9,1,4,1,0,1,2,4,0.777777777777778,8,9,11,4,0,4,1.66666666666667,1,-6
"loss","home",6,7,-1,3,1,2,"yes","yes","no",35,11,4,4,3,1,0,4,5,0.545454545454545,12,9,9,1,1,4,1.11111111111111,4,-5
"win","away",3,2,1,0,1,2,"no","no","no",31,5,1,11,2,0,2,4,8,0.6,2.5,9,5,2,0,5,0.777777777777778,2.5,1
"loss","home",2,3,-1,1,0,1,"yes","yes","no",29,5,2,5,0,0,0,0,0,0.4,1.5,9,5,1,2,11,0.666666666666667,11,5
"loss","away",4,11,-7,0,0,4,"no","no","no",35,11,4,3,1,0,0,1,1,0.363636363636364,7.5,8,17,2,3,3,2.375,1.5,-13
"win","home",11,4,7,2,4,5,"yes","yes","yes",39,17,2,3,0,0,3,3,9,0.647058823529412,14.5,9,11,4,0,3,1.66666666666667,0.75,-5
"loss","away",3,10,-7,0,1,2,"no","no","no",35,11,1,4,2,0,0,2,2,0.272727272727273,4,8,19,1,1,6,2.5,6,-6
"win","home",10,3,7,5,2,3,"yes","yes","yes",41,19,1,6,4,0,1,5,7,0.526315789473684,13,9,11,1,0,4,1.33333333333333,4,0
"win","away",2,1,1,2,0,0,"no","yes","yes",29,4,1,9,0,0,1,1,3,0.5,-0.5,9,3,1,0,10,0.444444444444444,10,8
"loss","home",1,2,-1,1,0,0,"no","no","no",30,3,1,10,0,0,0,0,0,0.333333333333333,-3,9,4,1,1,9,0.555555555555556,9,5
"loss","away",0,3,-3,0,0,0,"no","no","no",33,7,1,5,0,0,0,0,0,0,-1.5,8,9,3,0,2,1.5,0.666666666666667,-4
"win","home",3,0,3,1,0,2,"yes","yes","yes",31,9,3,2,1,0,0,1,1,0.333333333333333,6,9,7,1,0,5,0.888888888888889,5,4
"win","away",6,5,1,1,4,1,"no","no","yes",37,12,1,5,3,0,1,4,6,0.5,8.5,9,13,4,1,8,1.88888888888889,2,-2
"loss","home",5,6,-1,2,2,1,"no","yes","no",36,13,4,8,1,1,1,3,6,0.384615384615385,8,9,12,1,1,5,1.44444444444444,5,-3
"win","home",3,2,1,0,0,3,"no","no","no",32,8,1,10,1,0,1,2,4,0.375,1,9,9,0,0,5,1,5,3
"loss","away",2,3,-1,0,2,0,"yes","no","yes",32,9,0,5,0,0,0,0,0,0.222222222222222,-0.5,8,8,1,1,10,1.125,10,5
"loss","home",2,5,-3,1,0,1,"no","no","no",32,5,5,6,0,0,1,1,3,0.4,5,9,13,6,0,7,2.11111111111111,1.16666666666667,-4
"win","away",5,2,3,1,1,3,"yes","no","yes",37,13,6,7,1,0,0,1,1,0.384615384615385,8.5,9,5,5,1,6,1.11111111111111,1.2,-2
"loss","home",2,6,-4,0,0,2,"no","no","no",36,11,3,4,3,0,0,3,3,0.181818181818182,6,9,11,1,0,6,1.33333333333333,6,-1
"win","away",6,2,4,0,3,3,"yes","no","yes",36,11,1,6,2,1,0,3,4,0.545454545454545,7,9,11,3,0,4,1.55555555555556,1.33333333333333,-1
"loss","home",4,5,-1,1,2,1,"yes","no","no",38,10,4,6,0,0,0,0,0,0.4,5,9,14,4,0,5,2,1.25,-4
"win","away",5,4,1,2,3,0,"no","yes","yes",37,14,4,5,3,1,0,4,5,0.357142857142857,10.5,9,10,4,0,6,1.55555555555556,1.5,-2
"win","home",11,1,10,0,5,6,"no","no","yes",36,12,3,3,5,0,1,6,8,0.916666666666667,18.5,9,3,1,0,4,0.444444444444444,4,2
"loss","away",1,11,-10,0,1,0,"no","no","no",28,3,1,4,0,0,0,0,0,0.333333333333333,0,8,12,3,1,3,1.875,1,-12
"loss","home",0,9,-9,0,0,0,"no","no","no",32,7,1,5,0,0,0,0,0,0,-1.5,9,17,3,0,1,2.22222222222222,0.333333333333333,-11
"win","away",9,0,9,5,0,4,"yes","yes","yes",41,17,3,1,4,0,0,4,4,0.529411764705882,15.5,9,7,1,0,5,0.888888888888889,5,4
"win","home",6,5,1,3,1,1,"yes","yes","yes",37,11,6,8,3,0,1,4,6,0.545454545454545,12,10,12,3,0,5,1.5,1.66666666666667,-3
"loss","away",5,6,-1,2,1,2,"no","no","no",39,12,3,5,5,0,0,5,5,0.416666666666667,10.5,9.66666666666667,11,6,1,8,1.75862068965517,1.33333333333333,-5
"loss","home",4,7,-3,1,3,0,"no","no","no",34,11,4,10,0,1,0,1,2,0.363636363636364,4,9,15,1,0,8,1.77777777777778,8,0
"win","away",7,4,3,1,6,0,"yes","no","yes",40,15,1,8,0,0,0,0,0,0.466666666666667,4,9,11,4,0,10,1.66666666666667,2.5,2
"loss","home",1,13,-12,0,0,1,"no","no","no",32,5,2,7,1,0,1,2,4,0.2,1.5,9,15,8,1,6,2.55555555555556,0.75,-16
"win","away",13,1,12,3,7,3,"yes","yes","yes",41,15,8,6,2,1,1,4,7,0.866666666666667,22,9,5,2,1,7,0.777777777777778,3.5,3
"loss","home",2,7,-5,1,0,1,"no","no","no",33,7,1,10,0,0,1,1,3,0.285714285714286,-1,9,16,3,0,8,2.11111111111111,2.66666666666667,-2
"win","away",7,2,5,3,0,4,"yes","yes","yes",38,16,3,8,2,1,0,3,4,0.4375,9,9,7,1,1,10,0.888888888888889,10,6
"win","home",11,0,11,1,5,5,"yes","yes","yes",39,19,2,1,5,0,1,6,8,0.578947368421053,18.5,9,9,0,0,6,1,6,6
"loss","away",0,11,-11,0,0,0,"no","no","no",33,9,0,6,2,0,0,2,2,0,-1,8,19,2,1,1,2.625,0.5,-13
"win","away",3,2,1,0,2,1,"no","no","yes",32,7,1,7,3,0,1,4,6,0.428571428571429,4.5,9,6,2,0,8,0.888888888888889,4,4
"loss","home",2,3,-1,1,0,1,"yes","yes","no",33,6,2,8,1,0,0,1,1,0.333333333333333,1,9,7,1,1,7,0.888888888888889,7,2
"loss","away",1,5,-4,1,0,0,"no","no","no",31,5,1,12,0,0,0,0,0,0.2,-4,8,12,3,2,6,1.875,2,-4
"win","home",5,1,4,2,1,2,"no","yes","yes",35,12,3,6,2,0,2,4,8,0.416666666666667,9,9,5,1,0,12,0.666666666666667,12,10
"loss","home",0,8,-8,0,0,0,"no","no","no",32,6,1,8,0,0,0,0,0,0,-3,9,16,4,1,4,2.22222222222222,1,-9
"win","away",8,0,8,4,2,2,"yes","yes","yes",39,16,4,4,5,0,1,6,8,0.5,16,9,6,1,0,8,0.777777777777778,8,7
"loss","home",0,5,-5,0,0,0,"no","no","no",31,5,7,4,2,0,0,2,2,0,7,9,12,2,0,8,1.55555555555556,4,1
"win","away",5,0,5,1,0,4,"yes","yes","yes",38,12,2,8,0,1,0,1,2,0.416666666666667,4,9,5,7,0,4,1.33333333333333,0.571428571428571,-3
"loss","home",0,1,-1,0,0,0,"no","no","no",32,6,1,14,1,0,0,1,1,0,-5,9,4,1,0,8,0.555555555555556,8,6
"win","away",1,0,1,0,1,0,"yes","no","yes",29,4,1,8,1,0,0,1,1,0.25,-1,9,6,1,0,14,0.777777777777778,14,13
"win","home",3,1,2,0,1,2,"yes","no","yes",30,8,3,7,1,0,0,1,1,0.375,3.5,9,11,1,0,8,1.33333333333333,8,6
"loss","away",1,3,-2,0,0,1,"no","no","no",37,11,1,8,2,0,0,2,2,0.0909090909090909,0,8,8,3,0,7,1.375,2.33333333333333,1
"win","home",5,4,1,3,1,1,"yes","yes","yes",35,11,3,7,4,0,1,5,7,0.454545454545455,9.5,9,4,4,0,2,0.888888888888889,0.5,-6
"loss","away",4,5,-1,0,3,1,"no","no","no",31,4,4,2,1,0,0,1,1,1,8,8,11,3,1,7,1.75,2.33333333333333,-2
"loss","away",3,9,-6,0,2,1,"no","no","no",32,6,7,8,0,0,1,1,3,0.5,7,8,14,3,1,6,2.125,2,-7
"win","home",9,3,6,3,6,0,"yes","yes","yes",34,14,3,6,1,2,1,4,8,0.642857142857143,13,9,6,7,1,8,1.44444444444444,1.14285714285714,-3
"loss","away",3,5,-2,0,3,0,"no","no","yes",36,9,1,6,0,0,0,0,0,0.333333333333333,1,8,12,6,0,3,2.25,0.5,-8
"win","home",5,3,2,0,1,4,"yes","no","no",34,12,6,3,0,1,0,1,2,0.416666666666667,10.5,9,9,1,0,6,1.11111111111111,6,2
"win","away",9,4,5,5,1,3,"yes","yes","yes",38,15,6,7,2,0,0,2,2,0.6,13.5,9,12,3,0,5,1.66666666666667,1.66666666666667,-2
"loss","home",4,9,-5,4,0,0,"no","no","no",38,12,3,5,1,0,0,1,1,0.333333333333333,5.5,9,15,6,0,7,2.33333333333333,1.16666666666667,-8
"win","away",11,10,1,4,5,2,"no","yes","yes",46,20,4,10,4,0,2,6,10,0.55,16,9,15,4,0,7,2.11111111111111,1.75,-7
"loss","home",10,11,-1,1,4,5,"yes","no","no",40,15,4,7,2,1,0,3,4,0.666666666666667,13.5,9,20,4,2,10,2.66666666666667,2.5,-7
"loss","away",6,13,-7,3,2,1,"no","no","no",36,12,3,6,4,0,0,4,4,0.5,10,8,20,3,1,4,2.875,1.33333333333333,-13
"win","home",13,6,7,3,6,4,"yes","no","yes",41,20,3,4,2,1,1,4,7,0.65,18,9,12,3,0,6,1.66666666666667,2,-3
"win","home",6,5,1,2,1,3,"yes","yes","yes",33,10,7,6,6,0,0,6,6,0.6,16,9,9,0,0,7,1,7,2
"loss","away",5,6,-1,0,1,4,"no","no","no",36,9,0,7,4,0,0,4,4,0.555555555555556,5.5,8.33333333333333,10,7,0,6,2.04,0.857142857142857,-7
"win","away",4,1,3,3,1,0,"yes","yes","yes",35,10,2,3,3,0,0,3,3,0.4,7.5,9,9,0,0,6,1,6,5
"loss","home",1,4,-3,0,1,0,"no","no","no",35,9,0,6,2,0,0,2,2,0.111111111111111,0,9,10,2,0,3,1.33333333333333,1.5,-3
"win","home",6,5,1,1,0,5,"yes","yes","no",36,10,1,9,2,1,1,4,7,0.6,6.5,9,13,3,0,5,1.77777777777778,1.66666666666667,-3
"loss","away",5,6,-1,0,3,2,"no","no","yes",37,13,3,5,0,0,0,0,0,0.384615384615385,5.5,8.66666666666667,10,1,1,9,1.26923076923077,9,1
"loss","home",0,4,-4,0,0,0,"no","no","no",30,6,5,2,0,0,0,0,0,0,4,9,8,1,1,6,1,6,0
"win","away",4,0,4,0,4,0,"yes","no","yes",34,8,1,6,2,0,1,3,5,0.5,5,9,6,5,0,2,1.22222222222222,0.4,-3
"win","home",6,0,6,6,0,0,"yes","yes","yes",36,15,4,5,0,0,0,0,0,0.4,7.5,9,4,1,0,6,0.555555555555556,6,5
"loss","away",0,6,-6,0,0,0,"no","no","no",30,4,1,6,0,0,0,0,0,0,-2,8,15,4,0,5,2.375,1.25,-5
"win","home",1,0,1,0,1,0,"yes","no","yes",28,5,4,8,1,0,0,1,1,0.2,2,9,3,1,0,6,0.444444444444444,6,5
"loss","away",0,1,-1,0,0,0,"no","no","no",30,3,1,6,1,0,0,1,1,0,-1,8,5,4,0,8,1.125,2,3
"win","home",8,4,4,6,2,0,"no","yes","yes",31,11,7,6,3,1,0,4,5,0.727272727272727,16,9,9,1,0,6,1.11111111111111,6,1
"loss","away",4,8,-4,3,0,1,"yes","no","no",34,9,1,6,2,0,0,2,2,0.444444444444444,4,8,11,7,0,6,2.25,0.857142857142857,-9
"win","home",4,3,1,0,0,4,"no","no","no",29,9,5,2,1,0,0,1,1,0.444444444444444,9,9,5,0,1,10,0.555555555555556,10,6
"loss","away",3,4,-1,3,0,0,"yes","yes","yes",32,5,0,10,1,0,1,2,4,0.6,0,8.33333333333333,9,5,0,2,1.68,0.4,-7
"win","away",5,4,1,1,0,2,"no","no","no",39,7,5,14,1,1,0,2,3,0.714285714285714,5,11,11,6,0,8,1.54545454545455,1.33333333333333,-2
"loss","home",4,5,-1,2,1,0,"no","yes","yes",39,11,6,8,1,0,0,1,1,0.363636363636364,7,11,7,5,0,14,1.09090909090909,2.8,4
"loss","away",0,4,-4,0,0,0,"no","no","no",31,6,0,8,0,0,0,0,0,0,-4,8,8,3,2,3,1.375,1,-6
"win","home",4,0,4,2,1,1,"yes","yes","yes",30,8,3,3,1,0,2,3,7,0.5,8.5,9,6,0,0,8,0.666666666666667,8,8
"loss","away",1,2,-1,1,0,0,"no","no","no",35,10,4,3,2,0,0,2,2,0.1,5.5,8,8,3,0,4,1.375,1.33333333333333,-1
"win","home",2,1,1,1,1,0,"no","no","yes",27,8,3,4,0,0,0,0,0,0.25,3,9,10,4,0,3,1.55555555555556,0.75,-2
"win","away",14,7,7,4,9,1,"yes","yes","yes",40,14,4,7,3,1,1,5,8,1,19.5,9,10,4,2,6,1.55555555555556,1.5,-7
"loss","home",7,14,-7,1,2,4,"no","no","no",33,10,4,6,0,0,2,2,6,0.7,10,9,14,4,1,7,2,1.75,-12
"win","away",3,1,2,1,1,1,"no","no","yes",31,8,4,8,0,0,0,0,0,0.375,3,9,6,2,0,6,0.888888888888889,3,3
"loss","home",1,3,-2,1,0,0,"yes","no","no",32,6,2,6,1,1,0,2,3,0.166666666666667,2,9,8,4,0,8,1.33333333333333,2,1
"loss","away",0,2,-2,0,0,0,"no","no","no",33,7,1,6,2,0,0,2,2,0,0,8,5,2,1,5,0.875,2.5,0
"win","home",2,0,2,0,2,0,"yes","no","yes",28,5,2,5,1,0,1,2,4,0.4,3.5,9,7,1,0,6,0.888888888888889,6,5
"loss","away",3,4,-1,0,0,3,"no","no","no",36,10,2,11,5,0,0,5,5,0.3,4.5,8,9,2,0,1,1.375,0.5,-5
"win","home",4,3,1,1,1,2,"yes","yes","yes",31,9,2,1,1,0,0,1,1,0.444444444444444,6.5,9,10,2,0,11,1.33333333333333,5.5,6
"loss","away",4,5,-1,1,1,2,"yes","yes","no",38,11,2,6,3,0,0,3,3,0.363636363636364,6,8.33333333333333,8,3,2,3,1.32,1,-7
"win","home",5,4,1,0,2,3,"no","no","no",30,8,3,3,1,1,2,4,9,0.625,10.5,9,11,2,0,6,1.44444444444444,3,0
"loss","away",1,8,-7,0,1,0,"no","no","no",32,9,2,7,2,0,0,2,2,0.111111111111111,1.5,8,11,6,1,2,2.125,0.333333333333333,-13
"win","home",8,1,7,1,2,5,"yes","yes","yes",34,11,6,2,2,0,1,3,5,0.727272727272727,16,9,9,2,0,7,1.22222222222222,3.5,4
"loss","away",0,8,-8,0,0,0,"no","no","no",28,2,0,8,0,0,0,0,0,0,-4,8,12,2,1,5,1.75,2.5,-6
"win","home",8,0,8,0,6,2,"yes","no","yes",37,12,2,5,1,0,1,2,4,0.666666666666667,9.5,9,2,0,0,8,0.222222222222222,8,8
"win","home",2,1,1,1,0,0,"yes","yes","no",31,6,1,9,0,0,0,0,0,0.333333333333333,-1.5,10,8,5,0,9,1.3,1.8,3
"loss","away",1,2,-1,0,1,0,"no","no","no",33,8,5,9,1,0,0,1,1,0.125,2.5,9,6,1,0,9,0.777777777777778,9,6
"loss","home",4,5,-1,2,2,0,"yes","yes","no",34,8,5,2,1,0,1,2,4,0.5,10,9,10,4,0,4,1.55555555555556,1,-5
"win","away",5,4,1,0,4,1,"no","no","no",35,10,4,4,4,0,0,4,4,0.5,11,9,8,5,1,2,1.44444444444444,0.4,-8
"loss","home",8,9,-1,0,7,1,"no","no","no",36,11,1,8,1,0,2,3,7,0.727272727272727,8,9,14,4,1,8,2,2,-6
"win","away",9,8,1,4,4,1,"yes","yes","yes",37,14,4,8,3,1,1,5,8,0.642857142857143,14,9,11,1,2,8,1.33333333333333,8,-3
"loss","home",5,8,-3,0,0,5,"no","no","no",39,13,2,11,4,0,1,5,7,0.384615384615385,6.5,9,11,7,0,7,2,1,-8
"win","away",8,5,3,0,1,7,"yes","no","yes",38,11,7,7,5,0,0,5,5,0.727272727272727,16.5,9,13,2,1,11,1.66666666666667,5.5,3
"loss","home",2,3,-1,1,1,0,"yes","no","yes",34,10,1,8,2,0,0,2,2,0.2,1,9,7,0,0,9,0.777777777777778,9,6
"win","away",3,2,1,1,0,2,"no","no","no",31,7,0,9,1,0,0,1,1,0.428571428571429,-0.5,9,10,1,0,8,1.22222222222222,8,5
"loss","home",2,6,-4,0,1,1,"no","no","no",33,7,1,4,1,0,1,2,4,0.285714285714286,3,9,15,3,1,1,2,0.333333333333333,-9
"win","away",6,2,4,1,0,5,"yes","yes","no",40,15,3,1,1,0,1,2,4,0.4,10.5,9,7,1,1,4,0.888888888888889,4,0
"loss","home",2,3,-1,2,0,0,"no","no","no",28,3,5,8,1,0,0,1,1,0.666666666666667,4,9,7,1,2,7,0.888888888888889,7,1
"win","away",3,2,1,2,1,0,"yes","no","yes",32,7,1,7,1,0,2,3,7,0.428571428571429,3.5,9,3,5,0,8,0.888888888888889,1.6,1
"loss","home",0,5,-5,0,0,0,"no","no","no",33,6,2,10,1,0,0,1,1,0,-2,9,13,2,1,7,1.66666666666667,3.5,-1
"win","away",5,0,5,1,0,4,"yes","yes","yes",39,13,2,7,1,0,1,2,4,0.384615384615385,5.5,9,6,2,0,10,0.888888888888889,5,8
"win","home",7,3,4,4,2,1,"no","yes","yes",29,8,4,5,1,0,3,4,10,0.875,12.5,9,9,3,1,11,1.33333333333333,3.66666666666667,4
"loss","away",3,7,-4,1,2,0,"yes","no","no",35,9,3,11,1,0,1,2,4,0.333333333333333,2.5,8,8,4,3,5,1.5,1.25,-9
"win","home",6,5,1,1,3,2,"yes","yes","yes",32,10,3,8,1,0,1,2,4,0.6,7,9,9,6,0,2,1.66666666666667,0.333333333333333,-9
"loss","away",5,6,-1,0,3,2,"no","no","no",35,9,6,2,1,0,0,1,1,0.555555555555556,11,8,10,3,1,8,1.625,2.66666666666667,-2
"win","home",11,3,8,6,3,2,"yes","yes","yes",36,13,3,5,3,0,2,5,9,0.846153846153846,16.5,9,3,2,1,8,0.555555555555556,4,2
"loss","away",3,11,-8,1,2,0,"no","no","no",29,3,2,8,0,0,1,1,3,1,2,8,13,3,2,5,2,1.66666666666667,-11
"loss","home",0,2,-2,0,0,0,"no","no","no",31,5,1,9,1,0,0,1,1,0,-2.5,9,7,1,1,4,0.888888888888889,4,0
"win","away",2,0,2,2,0,0,"yes","yes","yes",30,7,1,4,2,0,1,3,5,0.285714285714286,4,9,5,1,0,9,0.666666666666667,9,8
"win","home",5,0,5,2,3,0,"yes","yes","yes",33,9,7,5,3,0,0,3,3,0.555555555555556,12.5,9,4,1,0,7,0.555555555555556,7,6
"loss","away",0,5,-5,0,0,0,"no","no","no",29,4,1,7,0,0,0,0,0,0,-2.5,8,9,7,0,5,2,0.714285714285714,-7
"win","home",4,1,3,0,0,4,"no","no","no",32,9,2,4,2,0,1,3,5,0.444444444444444,7,9,7,4,0,4,1.22222222222222,1,-1
"loss","away",1,4,-3,1,0,0,"yes","yes","yes",30,7,4,4,3,0,0,3,3,0.142857142857143,6,8,9,2,1,4,1.375,2,-3
"win","home",5,3,2,0,5,0,"no","no","yes",30,6,2,4,3,0,1,4,6,0.833333333333333,9,9,6,1,1,6,0.777777777777778,6,1
"loss","away",3,5,-2,3,0,0,"yes","yes","no",32,6,1,6,1,0,1,2,4,0.5,3,8,6,2,1,4,1,2,-4
"win","home",8,1,7,1,5,2,"no","no","yes",33,12,9,8,3,0,0,3,3,0.666666666666667,16,9,3,3,0,9,0.666666666666667,3,5
"loss","away",1,8,-7,1,0,0,"yes","no","no",28,3,3,9,0,1,0,1,2,0.333333333333333,0.5,8,12,9,0,8,2.625,0.888888888888889,-9
"win","home",6,5,1,3,0,3,"yes","yes","yes",31,8,1,8,1,1,1,3,6,0.75,6,9,11,2,1,7,1.44444444444444,3.5,-1
"loss","away",5,6,-1,0,2,3,"no","no","no",34,11,2,7,2,0,1,3,5,0.454545454545455,6.5,8,8,1,1,8,1.125,8,0
"loss","away",2,5,-3,0,2,0,"no","no","no",32,5,3,4,0,0,0,0,0,0.4,3,8,10,4,1,1,1.75,0.25,-9
"win","home",5,2,3,3,0,2,"yes","yes","yes",32,10,4,1,0,0,1,1,3,0.5,9.5,9,5,3,0,4,0.888888888888889,1.33333333333333,-1
"win","away",7,6,1,0,6,1,"no","no","yes",38,15,4,4,1,1,1,3,6,0.466666666666667,12,9,8,5,1,9,1.44444444444444,1.8,-3
"loss","home",6,7,-1,1,0,5,"yes","yes","no",35,8,5,9,3,0,1,4,6,0.75,10.5,9,15,4,1,4,2.11111111111111,1,-8
"win","away",2,0,2,0,0,2,"yes","no","no",36,10,1,5,0,0,0,0,0,0.2,0.5,9,6,3,0,3,1,1,0
"loss","home",0,2,-2,0,0,0,"no","no","no",31,6,3,3,0,0,0,0,0,0,1.5,9,10,1,0,5,1.22222222222222,5,2
"loss","away",5,9,-4,0,5,0,"no","no","no",34,7,2,8,1,0,1,2,4,0.714285714285714,5,8,14,1,0,2,1.875,2,-8
"win","home",9,5,4,4,2,3,"yes","yes","yes",35,14,1,2,6,0,0,6,6,0.642857142857143,15,9,7,2,1,8,1,4,0
"loss","away",1,5,-4,0,1,0,"no","no","no",30,5,0,15,1,0,0,1,1,0.2,-5.5,8,7,5,0,2,1.5,0.4,-8
"win","home",5,1,4,1,4,0,"yes","yes","yes",29,7,5,2,2,0,0,2,2,0.714285714285714,11,9,5,0,0,15,0.555555555555556,15,14
"win","away",9,5,4,6,3,0,"yes","yes","yes",38,12,4,4,3,0,1,4,6,0.75,15,9,12,3,2,6,1.66666666666667,2,-4
"loss","home",5,9,-4,1,2,2,"no","no","no",38,12,3,6,3,0,2,5,9,0.416666666666667,10,9,12,4,1,4,1.77777777777778,1,-10
"loss","away",1,3,-2,1,0,0,"no","no","no",30,6,2,11,1,0,0,1,1,0.166666666666667,-1.5,8,10,1,0,5,1.375,5,1
"win","home",3,1,2,1,0,2,"no","no","no",30,10,1,5,0,0,0,0,0,0.3,1.5,9,6,2,0,11,0.888888888888889,5.5,8
"win","away",2,1,1,0,1,1,"no","no","no",35,11,1,8,0,0,1,1,3,0.181818181818182,0,9,3,3,0,7,0.666666666666667,2.33333333333333,3
"loss","home",1,2,-1,1,0,0,"yes","yes","no",29,3,3,7,1,0,0,1,1,0.333333333333333,1.5,9,11,1,1,8,1.33333333333333,8,4
"loss","away",2,7,-5,0,0,2,"no","no","no",32,7,2,5,1,0,1,2,4,0.285714285714286,3.5,8,8,7,0,9,1.875,1.28571428571429,-5
"win","home",7,2,5,2,0,5,"yes","yes","yes",30,8,7,9,1,0,0,1,1,0.875,10.5,9,7,2,1,5,1,2.5,0
"loss","home",0,4,-4,0,0,0,"no","no","no",32,5,3,8,0,0,0,0,0,0,-1,9,9,2,0,6,1.22222222222222,3,0
"win","away",4,0,4,1,3,0,"yes","yes","yes",35,9,2,6,2,0,0,2,2,0.444444444444444,5,9,5,3,0,8,0.888888888888889,2.66666666666667,5
"loss","away",3,5,-2,1,0,2,"yes","yes","no",37,11,2,6,1,0,1,2,4,0.272727272727273,4,8,9,3,1,4,1.5,1.33333333333333,-5
"win","home",5,3,2,0,2,3,"no","no","yes",31,9,3,4,1,1,1,3,6,0.555555555555556,9,9,11,2,1,6,1.44444444444444,3,0
"loss","away",1,3,-2,0,0,1,"no","no","no",33,8,1,8,1,0,1,2,4,0.125,0,8,8,2,0,7,1.25,3.5,2
"win","home",3,1,2,0,1,2,"yes","no","yes",32,8,2,7,1,0,0,1,1,0.375,2.5,9,8,1,1,8,1,8,5
"win","away",8,6,2,5,2,1,"yes","yes","yes",35,13,7,8,5,0,0,5,5,0.615384615384615,16,9,7,3,0,4,1.11111111111111,1.33333333333333,-5
"loss","home",6,8,-2,0,2,4,"no","no","no",29,7,3,4,1,1,0,2,3,0.857142857142857,9,9,13,7,0,8,2.22222222222222,1.14285714285714,-7
"loss","away",1,2,-1,0,0,1,"no","no","no",30,4,2,5,0,0,0,0,0,0.25,0.5,8,5,1,2,5,0.75,5,0
"win","home",2,1,1,1,1,0,"yes","yes","yes",29,5,1,5,2,0,2,4,8,0.4,4.5,9,4,2,0,5,0.666666666666667,2.5,2
"loss","away",3,4,-1,0,3,0,"no","no","no",29,6,2,8,2,0,1,3,5,0.5,4,8.66666666666667,11,3,0,5,1.61538461538462,1.66666666666667,-2
"win","home",4,3,1,1,2,1,"yes","yes","no",37,11,3,5,2,0,0,2,2,0.363636363636364,6.5,9,6,2,1,8,0.888888888888889,4,2
"win","away",11,6,5,9,2,0,"yes","yes","yes",40,13,3,7,0,0,4,4,12,0.846153846153846,14.5,9,10,7,1,5,1.88888888888889,0.714285714285714,-9
"loss","home",6,11,-5,1,5,0,"no","no","no",36,10,7,5,0,0,1,1,3,0.6,11.5,9,13,3,4,7,1.77777777777778,2.33333333333333,-11
"loss","home",1,7,-6,0,1,0,"no","no","no",37,10,1,12,1,0,0,1,1,0.1,-3,9,9,3,1,7,1.33333333333333,2.33333333333333,-4
"win","away",7,1,6,4,2,1,"yes","yes","yes",37,9,3,7,0,0,1,1,3,0.777777777777778,7.5,9,10,1,0,12,1.22222222222222,12,10
"win","home",4,1,3,4,0,0,"yes","yes","yes",32,8,3,4,1,1,0,2,3,0.5,7,9,2,5,1,8,0.777777777777778,1.6,1
"loss","away",1,4,-3,0,0,1,"no","no","no",27,2,5,8,0,0,1,1,3,0.5,3,8,8,3,0,4,1.375,1.33333333333333,-3
"win","home",5,3,2,3,0,2,"yes","yes","yes",30,7,4,9,1,0,1,2,4,0.714285714285714,6.5,9,9,2,0,7,1.22222222222222,3.5,2
