"win","is_home","runs_scored","runs_allowed","run_diff","early_runs","middle_runs","late_runs","scored_first","led_after_3","led_after_6","AB","H","BB","SO","double","triple","HR","extra_base_hits","power_score","run_per_hit","offense_pressure_score","innings_pitched","hits_allowed","bb_allowed","hr_allowed","so_pitched","whip_like","strikeout_walk_ratio","run_prevention_score"
"win","home",5,4,1,0,5,0,"no","no","yes",33,10,0,4,1,0,1,2,4,0.5,5,9,7,7,1,5,1.55555555555556,0.714285714285714,-7
"loss","away",0,4,-4,0,0,0,"no","no","no",30,3,1,11,0,0,0,0,0,0,-4.5,8,9,5,1,9,1.75,1.8,-1
"win","home",4,0,4,2,1,1,"yes","yes","yes",31,9,5,9,1,0,1,2,4,0.444444444444444,6.5,9,3,1,0,11,0.444444444444444,11,10
"loss","away",1,8,-7,0,1,0,"no","no","no",34,10,3,8,1,0,0,1,1,0.1,1,8,10,2,0,2,1.5,1,-8
"win","home",8,1,7,7,1,0,"yes","yes","yes",31,10,2,2,4,0,0,4,4,0.8,13,9,10,3,0,8,1.44444444444444,2.66666666666667,4
"loss","away",4,11,-7,1,1,2,"yes","yes","no",37,11,3,8,3,0,1,4,6,0.363636363636364,7,8,16,4,0,5,2.5,1.25,-10
"win","home",11,4,7,0,10,1,"no","no","yes",35,16,4,5,0,0,0,0,0,0.6875,12.5,9,11,3,1,8,1.55555555555556,2.66666666666667,0
"win","away",6,0,6,0,6,0,"yes","no","yes",34,9,6,2,3,0,0,3,3,0.666666666666667,14,9,4,0,0,8,0.444444444444444,8,8
"loss","home",0,6,-6,0,0,0,"no","no","no",31,4,0,8,0,0,0,0,0,0,-4,9,9,6,0,2,1.66666666666667,0.333333333333333,-10
"win","away",5,3,2,2,3,0,"yes","yes","yes",34,8,4,3,0,1,0,1,2,0.625,8.5,9,8,0,1,5,0.888888888888889,5,1
"loss","home",3,5,-2,0,1,2,"no","no","no",34,8,0,5,2,0,1,3,5,0.375,3.5,9,8,4,0,3,1.33333333333333,0.75,-6
"loss","home",3,4,-1,1,2,0,"yes","yes","yes",33,10,3,9,0,0,0,0,0,0.3,1.5,9,9,6,0,8,1.66666666666667,1.33333333333333,-2
"win","away",4,3,1,0,0,4,"no","no","no",34,9,6,8,3,0,0,3,3,0.444444444444444,9,9,10,3,0,9,1.44444444444444,3,3
"loss","home",6,8,-2,5,0,1,"yes","no","no",37,12,4,9,3,0,2,5,9,0.5,10.5,9,9,7,0,9,1.77777777777778,1.28571428571429,-6
"win","away",8,6,2,6,2,0,"no","yes","yes",33,9,7,9,0,0,0,0,0,0.888888888888889,10.5,9,12,4,2,9,1.77777777777778,2.25,-3
"win","away",4,3,1,2,2,0,"no","yes","yes",31,8,2,11,2,1,0,3,4,0.5,3.5,9,10,0,0,8,1.11111111111111,8,5
"loss","home",3,4,-1,1,2,0,"yes","no","no",35,10,0,8,2,1,0,3,4,0.3,2,9,8,2,0,11,1.11111111111111,5.5,5
"win","home",13,2,11,1,11,1,"yes","no","yes",36,12,9,4,3,0,0,3,3,1.08333333333333,23,9,7,0,0,2,0.777777777777778,2,0
"loss","away",2,13,-11,1,0,1,"no","no","no",34,7,0,2,1,0,0,1,1,0.285714285714286,2,8,12,9,0,4,2.625,0.444444444444444,-18
"loss","home",2,3,-1,1,1,0,"yes","yes","no",34,10,5,4,3,0,0,3,3,0.2,8,9,11,2,1,10,1.44444444444444,5,4
"win","away",3,2,1,0,3,0,"no","no","yes",35,11,2,10,2,0,1,3,5,0.272727272727273,3,9,10,5,0,4,1.66666666666667,0.8,-3
"loss","home",0,3,-3,0,0,0,"no","no","no",29,5,2,6,0,0,0,0,0,0,-1,9,6,4,1,12,1.11111111111111,3,4
"win","away",3,0,3,0,3,0,"yes","no","yes",30,6,4,12,0,0,1,1,3,0.5,2,9,5,2,0,6,0.777777777777778,3,4
"win","away",7,3,4,4,2,1,"yes","yes","yes",35,10,6,2,1,1,1,3,6,0.7,15,9,7,2,0,7,1,3.5,2
"loss","home",3,7,-4,1,0,2,"no","no","no",32,7,2,7,1,0,0,1,1,0.428571428571429,2.5,9,10,6,1,2,1.77777777777778,0.333333333333333,-12
"loss","home",5,9,-4,1,3,1,"yes","no","no",41,15,1,7,1,0,0,1,1,0.333333333333333,3.5,9,15,3,1,6,2,2,-7
"win","away",9,5,4,5,0,4,"no","yes","yes",41,15,3,6,5,0,1,6,8,0.6,15,9,15,1,0,7,1.77777777777778,7,1
"loss","home",4,5,-1,4,0,0,"yes","yes","yes",33,9,5,11,1,0,1,2,4,0.444444444444444,5.5,9,12,5,0,8,1.88888888888889,1.6,-2
"win","away",5,4,1,0,2,3,"no","no","no",37,12,5,8,0,0,0,0,0,0.416666666666667,6,9,9,5,1,11,1.55555555555556,2.2,1
"loss","away",2,6,-4,1,0,1,"yes","yes","no",32,6,6,10,0,0,1,1,3,0.333333333333333,4,8,10,2,1,8,1.5,4,-1
"win","home",6,2,4,0,4,2,"no","no","yes",33,10,2,8,0,1,1,2,5,0.6,6,9,6,6,1,10,1.33333333333333,1.66666666666667,1
"loss","home",3,7,-4,1,2,0,"yes","yes","no",31,6,1,6,0,0,1,1,3,0.5,2,9,11,3,1,5,1.55555555555556,1.66666666666667,-6
"win","away",7,3,4,0,6,1,"no","no","yes",38,11,3,5,3,0,1,4,6,0.636363636363636,11.5,9,6,1,1,6,0.777777777777778,6,1
